material_name,category,co2_emissions,recyclable,biodegradable,cost_tier,common_uses,is_bio_based,replaces_material,notes
Virgin ABS,plastic,8.5,yes,no,medium,"Electronic housings, automotive parts, LEGO bricks",no,,Standard petroleum-based engineering thermoplastic with moderate impact resistance.
Recycled ABS,plastic,3.2,yes,no,medium,"Computer peripherals, consumer electronics casing, automotive interior parts",no,Virgin ABS,Diverts post-consumer waste from landfills with comparable mechanical properties to virgin ABS.
Virgin Polycarbonate (PC),plastic,6.8,yes,no,medium,"Eyeglass lenses, protective gear, electronic components",no,,"High impact-resistant thermoplastic, energy-intensive to manufacture."
Recycled Polycarbonate,plastic,2.9,yes,no,medium,"Laptops casing, automotive bezels, protective eyewear",no,Virgin Polycarbonate (PC),Reduces carbon footprint by up to 55% compared to virgin polycarbonate.
Virgin PVC,plastic,3.1,no,no,low,"Pipework, window profiles, cable insulation",no,,"Durable synthetic plastic, releases toxic chlorine compounds upon incineration."
Recycled PVC,plastic,1.4,no,no,low,"Drainage pipes, flooring tiles, cable ducts",no,Virgin PVC,Retains durability while reducing virgin petrochemical extraction.
Virgin Polypropylene (PP),plastic,2.0,yes,no,low,"Packaging, bottle caps, living hinges, automotive bumpers",no,,Versatile commodity plastic with low density and good fatigue resistance.
Recycled Polypropylene,plastic,0.9,yes,no,low,"Storage bins, crates, garden furniture, plant pots",no,Virgin Polypropylene (PP),High recyclability and significant embodied carbon savings.
Virgin Polystyrene (PS),plastic,3.8,partial,no,low,"Disposable cutlery, CD cases, yogurt cups",no,,Rigid and brittle commodity plastic with poor recycling rates.
Expanded Polystyrene (EPS),plastic,4.2,no,no,low,"Protective packaging, insulation panels, food containers",no,,Lightweight foam packaging notorious for breaking into microplastics.
R-PET (Recycled PET),plastic,1.8,yes,no,medium,"Beverage bottles, textile fibers, food trays",no,Virgin PET,"Closed-loop recycling of post-consumer bottles, greatly reducing petroleum dependence."
Bio-PLA (Polylactic Acid),biomaterial,1.8,partial,yes,medium,"3D printing filament, single-use cups, food packaging",yes,Virgin ABS,Derived from corn starch or sugarcane; requires industrial composting facilities.
PHA (Polyhydroxyalkanoates),biomaterial,1.2,yes,yes,high,"Agricultural films, cosmetic containers, medical sutures",yes,Virgin Polypropylene (PP),"Fully biodegradable in marine and soil environments, produced via bacterial fermentation."
Algae-based TPU,biomaterial,2.1,partial,partial,medium,"Footwear midsoles, phone cases, flexible grips",yes,Virgin TPU,Replaces a portion of petroleum-derived polyols with harvested harmful algae biomass.
Starch-blend Bioplastic,biomaterial,1.5,yes,yes,low,"Shopping bags, compostable mailers, cutlery",yes,Virgin Polyethylene,"Inexpensive bio-based plastic alternative, though moisture sensitivity can limit shelf life."
Virgin Aluminum,metal,12.5,yes,no,high,"Beverage cans, window frames, aircraft fuselages",no,,Extremely energy-intensive Hall-Héroult smelting process.
Recycled Aluminum,metal,0.8,yes,no,medium,"Automotive body panels, cans, architectural extrusions",no,Virgin Aluminum,Saves 95% of the energy required for primary aluminum production with zero loss in quality.
Virgin Copper,metal,3.8,yes,no,high,"Electrical wiring, plumbing pipes, heat exchangers",no,,Essential conductive metal facing declining ore grades and high mining impacts.
